fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
2004 Ford 6.0L Powerstroke,2004-ford-6-0l-powerstroke,gid://shopify/Metaobject/279912907117,fitment_vehicle,,2026-01-31T01:09:45Z,2004,ford,6.0L,powerstroke,,"{""year"": ""2004"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.0L Powerstroke"", ""display_name"": ""2004 Ford 6.0L Powerstroke""}"
2004 GMC 6.6L Duramax LB7,2004-gmc-6-6l-duramax-lb7,gid://shopify/Metaobject/279911104877,fitment_vehicle,,2026-01-31T01:09:14Z,2004,gmc,6.6L,duramax,LB7,"{""year"": ""2004"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2004 GMC 6.6L Duramax LB7""}"
2004.5 GMC 6.6L Duramax LLY,2004-5-gmc-6-6l-duramax-lly,gid://shopify/Metaobject/279910351213,fitment_vehicle,,2026-01-31T01:09:01Z,2004,gmc,6.6L,duramax,LLY,"{""year"": ""2004.5"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LLY"", ""display_name"": ""2004.5 GMC 6.6L Duramax LLY""}"
2004 Dodge/Ram 5.9L Cummins,2004-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911629165,fitment_vehicle,,2026-01-31T01:09:23Z,2004,ram,5.9L,cummins,,"{""year"": ""2004"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2004 Dodge/Ram 5.9L Cummins""}"
2004.5 Dodge/Ram 5.9L Cummins,2004-5-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911661933,fitment_vehicle,,2026-01-31T01:09:23Z,2004,ram,5.9L,cummins,,"{""year"": ""2004.5"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2004.5 Dodge/Ram 5.9L Cummins""}"
2004 Sprinter 2.7L,2004-sprinter-2-7l,gid://shopify/Metaobject/279917822317,fitment_vehicle,,2026-01-31T01:11:09Z,2004,sprinter,2.7L,,,"{""year"": ""2004"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.7L"", ""display_name"": ""2004 Sprinter 2.7L""}"
2004 Volkswagen 1.6L TDI,2004-volkswagen-1-6l-tdi,gid://shopify/Metaobject/279916151149,fitment_vehicle,,2026-01-31T01:10:40Z,2004,volkswagen,1.6L,,TDI,"{""year"": ""2004"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""1.6L TDI"", ""display_name"": ""2004 Volkswagen 1.6L TDI""}"
2005 Chevrolet 6.6L Duramax LLY,2005-chevrolet-6-6l-duramax-lly,gid://shopify/Metaobject/279910383981,fitment_vehicle,,2026-01-31T01:09:02Z,2005,chevrolet,6.6L,duramax,LLY,"{""year"": ""2005"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LLY"", ""display_name"": ""2005 Chevrolet 6.6L Duramax LLY""}"
2005 Ford 6.0L Powerstroke,2005-ford-6-0l-powerstroke,gid://shopify/Metaobject/279912939885,fitment_vehicle,,2026-01-31T01:09:45Z,2005,ford,6.0L,powerstroke,,"{""year"": ""2005"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.0L Powerstroke"", ""display_name"": ""2005 Ford 6.0L Powerstroke""}"
2005 GMC 6.6L Duramax LLY,2005-gmc-6-6l-duramax-lly,gid://shopify/Metaobject/279910416749,fitment_vehicle,,2026-01-31T01:09:02Z,2005,gmc,6.6L,duramax,LLY,"{""year"": ""2005"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LLY"", ""display_name"": ""2005 GMC 6.6L Duramax LLY""}"
2005 Jeep 2.8L CRD Liberty,2005-jeep-2-8l-crd-liberty,gid://shopify/Metaobject/279918215533,fitment_vehicle,,2026-01-31T01:11:16Z,2005,jeep,2.8L,,CRD,"{""year"": ""2005"", ""make"": ""Jeep"", ""model"": """", ""engine"": ""2.8L CRD Liberty"", ""display_name"": ""2005 Jeep 2.8L CRD Liberty""}"
