f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
*Bosch Fuel Control Actuator 04.5-05 LLY Duramax,,25.00%,10.00%,,,,,
*Bosch Fuel Control Actuator 07.5-13 6.7L Dodge Cummins,,25.00%,10.00%,,,,,
*Bosch Fuel Control Actuator 01-04 LB7 Duramax,,25.00%,10.00%,,,,,
*Bosch Fuel Control Actuator 06-10 LBZ / LMM Duramax,,25.00%,10.00%,,,,,
*Bosch Fuel Control Actuator 11-13 LML Duramax + 6.7L Ford,,25.00%,10.00%,,,,,
*Bosch 6.7L Cummins MAP Sensor,,30.00%,15.00%,,,,,
*Bosch 6.7L Cummins CP3 Gear Pump,,35.00%,20.00%,,,,,
*Bosch 6.7L Cummins Pressure Relief Valve,,45.00%,20.00%,,,,,
*Bosch 6.7L Cummins Rail Pressure Sensor,,35.00%,20.00%,,,,,
*Bosch 5.9L Cummins Pressure Relief Valve,,35.00%,20.00%,,,,,
*Bosch 5.9L Rail Pressure Sensor,,35.00%,20.00%,,,,,
*Bosch 5.9L Cummins CP3 Gear Pump,,45.00%,20.00%,,,,,
*Bosch 7.3L HPOP,,25.00%,10.00%,,,,,
*Bosch Starters and Alternators,,22.00%,,,,,,
Boxo USA,No Limit Diesel,25.00%,10.00%,,,,,
Bubba Rope,Bubba Rope,25.00%,10.00%,,,,,
BuiltRight Industries,Turn 14,24.00%,,,,,,
BulletProof Diesel,DPPI,18.57%,5.00%,,,,,
,BulletProof Diesel,Varies,,"If purchase 36+ 6.7L Oil Coolers at a time, price goes from  $149.97 to $130 per unit",,,,
Bulletproof Hitches,Bulletproof Hitches,30.00%,,,,,,
Bully Dog Technologies,,,,,,,,
*Bully Dog GT,PPPWD / Thunder / Turn 14,30.96%,NO DISCOUNT WHATSOEVER,,,,,
*Bully Dog Light Duty Mounts,PPPWD / Thunder,40.00%,,,,,,
*Bully Dog Heavy Duty Tuners,Bully Dog,20.00%,NO DISCOUNT WHATSOEVER,,,,,
*Bully Dog Heavy Duty Turbos,Bully Dog,33.33%,NO DISCOUNT WHATSOEVER,,,,,
*Bully Dog Exhaust Manifold,Bully Dog,20.00%,NO DISCOUNT WHATSOEVER,,,,,
*Bully Dog,XDP,30.90%,NO DISCOUNT WHATSOEVER,,,"If order 20 at a time of the 40420, Paul will send us 20 42214 Unlock Cables free of charge",,
*Bully Dog,Derive,~42%,,"42.70% on BDX, 41.36% on GT, no MAP on other parts; extra 3% on all orders if we stock 80% of total sales each month.",,,,
Bushwacker,TransAmerican,22.00%,10.00%,,,,,
Calibrated Power,Calibrated Power,20.00%,,We purchase at Tier 4 Dealer Level,,,,
Camburg,Camburg,25-30%,10.00%,,,,,
Carli Suspension,Carli Suspension,,,,,,,
*Carli Air Bags,,20.00%,5.00%,,,,,
*Carli Ball Joints,,25.00%,,30% when ordered 5 or more at a time,,,,
*Carli Bilstein 5100 Shock Package,,20.00%,5.00%,,,,,
*Carli Bilstein 5100 Stabilizer Shock,,20.00%,5.00%,,,,,
*Carli Ford Coilover Bypass System,,30.00%,15.00%,,,,,
*Carli Front Hydro Bump Stops,,20.00%,5.00%,,,,,
*Carli Full Progressive Rear Springs,,25.00%,10.00%,,,,,
*Carli Full Progressive Rear Springs - 1994-2002,,15.00%,0.00%,,,,,
*Carli Heavy Duty Rear Springs,,15.00%,0.00%,,,,,
*Carli Long Travel Rear Springs,,15.00%,0.00%,,,,,
*Carli Rear Hydro Bump Stops,,20.00%,5.00%,,,,,
*Carli Shock Packages Besides 5100's,,25.00%,10.00%,,,,,
*Carli Unless Otherwise Mentioned,,35.00%,20.00%,,,,,
*Carli,Premier,15.00%,,,,,,
*Carli,Turn 14,19.00%,,,,,,
*Carli,A1 Distributing,,,,,,,
Carter,Power Distributing,35.00%,20.00%,,,,,
Casserly Injectors,Casserly / Full Force,,,Will ship stock orders free of charge if order 4+ sets at a time,,,,
*Casserly 7.3L Stock Replacements,,23.81%,10.00%,,,,,
*Casserly 7.3L Stage 1,,20.50%,10.00%,,,,,
*Casserly 7.3L Stage 1.5,,21.15%,10.00%,,,,,
*Casserly 7.3L Stage 2 160/100,,23.60%,10.00%,,,,,
*Casserly 7.3L Stage 3 238 - NEW,,17.16%,0.00%,,,,,
*Casserly 7.3L Stage 3 238 - REMAN,,26.39%,10.00%,,,,,
*Casserly 7.3L Stage 3 250/100 - REMAN,,26.39%,10.00%,,,,,
*Casserly 6.0L Stock,,17.29%,7.50%,,,,,
*Casserly 6.0 155cc,,14.31%,7.50%,,,,,
*Casserly 6.0 175 and 190cc,,17.02%,7.50%,,,,,
Champion Racing Oils,PPPWD,36.00%,20.00%,,,,,
,XDP,15.00%,,Free Shipping over $50,,,,
CJC Offroad,CJC Offroad,25.00%,,,,,,
Clampco,,,,,,,,
*Clampco 94158-0300,BD,32.43%,20.00%,,,,,
*Clampco 94158-0325,NW Hose & Fitting,47.50%,20.00%,,,,,
*Clampco 94158-0378,BD,32.43%,20.00%,,,,,
*Clampco 94158-0411,BD,32.43%,20.00%,,,,,
,,,,,,,,
Clutch Masters,Clutch Masters,22.22%,,Capability to get 35% on $15k+ stock orders,,,,
CNC Fabrication,CNC Fabrication,20.00%,,,,,,
Cognito Motorsports,Cognito Motorsports,28% / 24%,,"30% back of MSRP / Shipping on their account / Margin is either 30% or 25%, depends on product",,,,
,Cognito PN's that start with 510-,10.00%,,,,,,
,Turn 14,20.00%,,,,,,
ColorBond,PPPWD,52.88%,20.00%,,,,,
Colt Cams,,DPPI,Thunder,XDP,,,,
*Colt C.C.RETAINER,,14.44%,0.00%,32.00%,,,,
*Colt C.1014.S,,26.77%,21.07%,15.00%,,,,
*Colt C.343.S,,18.36%,10.02%,15.00%,,,,
*Colt C.346.S,,16.95%,10.02%,15.00%,,,,
*Colt C.349.S,,17.17%,10.01%,,,,,
*Colt C.C.TAPPETS,,,17.50%,15.00%,,,,
*Colt C.849.H,,16.56%,14.85%,15.00%,,,,
Cometic,Cometic,36.00%,,cost is determined by taking 20% off Jobber/MAP then subtracting another 20%,,,,
,XDP,20.00%,,,,,,
,A1,25.12%,,,,,,
ComeUp Winch,ComeUp Winch,30-32%,,,,,,
Complete Performance,Complete Performance,,,Extra 5% if we order five or more of a particular SKU,,,,
LED Pod Bumper Brackets ,,20.00%,,,,,,
Headlights,,27.03%,,,,,,
