search_family,platform_family,vendor,display_name,official_website_url,search_url_template,runtime_preference,blocking_risk,verification_level
generic_q_search,shopify,Rancho,Rancho,https://www.gorancho.com/,https://www.gorancho.com/search?q={sku}&options%5Bprefix%5D=last&type=product,http_first,low,verified
generic_q_search,generic_get_search,Rare Parts Steering and Suspension,Rare Parts Steering and Suspension,https://www.rareparts.com/,https://rareparts.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,RECON Lighting,RECON Lighting,https://gorecon.com/,https://gorecon.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Red-Head Steering Gears Inc.,Red-Head Steering Gears Inc.,https://redheadsteeringgears.com/,https://redheadsteeringgears.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,"Reid Racing, Inc.","Reid Racing, Inc.",https://www.reidracing.com/,https://www.reidracing.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,RokBlokz,RokBlokz Mud Flaps,https://rokblokz.com/,https://rokblokz.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Schaeffer's Lubricants,Schaeffer's Lubricants,https://www.schaefferoil.com/,https://schaefferoil.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,SDHQ Off Road,SDHQ Off Road,https://sdhqoffroad.com/,https://sdhqoffroad.com/search?q={sku},http_first,low,detected
generic_q_search,shopify,Smeding Diesel,Smeding Diesel,https://www.smedingdiesel.com/,https://www.smedingdiesel.com/search?q={sku}&options%5Bprefix%5D=last,http_first,low,verified
generic_q_search,generic_get_search,Snyder Performance Engineering,Snyder Performance Engineering,https://www.spemotorsport.com/,https://www.spemotorsport.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,South Bend Clutch,South Bend Clutch,https://southbendclutch.com/,https://southbendclutch.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,SteerSmarts,SteerSmarts,https://steersmarts.com/,https://steersmarts.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Sulastic Rubber Springs,Sulastic Rubber Springs,https://sulastic.com/en/,https://sulastic.com/en/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Timbren,Timbren,https://timbren.com/,https://timbren.com/search?q={sku},http_first,low,detected
generic_q_search,shopify,Toolbox Widget,Toolbox Widget,https://toolboxwidget.com/,https://toolboxwidget.com/search?q={sku}&options%5Bprefix%5D=last,http_first,low,verified
generic_q_search,generic_get_search,TS Performance,TS Performance,https://www.tsperformanceofficial.com/,/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,USA Standard Gear,USA Standard Gear,https://www.usastandardgear.com/,https://www.usastandardgear.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Volant,Volant,https://volant.com/,https://volant.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Westin,Westin Automotive Products,https://www.westinautomotive.com/,https://westinautomotive.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,XDP,XDP,https://www.xtremediesel.com/,https://www.xtremediesel.com/xtreme-diesel-performance-xdp-search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,XS Power,XS Power,https://4xspower.com/,https://4xspower.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Yukon Gear & Axle,Yukon Gear & Axle,https://www.yukongear.com/,https://www.yukongear.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Zone Offroad Suspension,Zone Offroad Suspension,https://zoneoffroad.com/,https://zoneoffroad.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Zumbrota Drivetrain,Zumbrota Drivetrain,https://www.zumbrotadrivetrain.com/,https://www.zumbrotadrivetrain.com/search?q={sku},http_first,low,detected
generic_query_search,generic_get_search,Power Driven Diesel,Power Driven Diesel,https://powerdriven.com/,https://powerdriven.com/pages/search?query={sku},http_first,low,verified
generic_query_search,generic_get_search,S&B,S&B,https://sbfilters.com/,https://sbfilters.com/pages/search?query={sku},browser_first,high,verified
generic_query_search,generic_get_search,Total Seal Piston Rings,Total Seal Piston Rings,https://www.totalseal.com/,https://totalseal.com/search?query={sku},http_first,low,probed
json_product_search,custom_api,FASS Fuel Systems,FASS Fuel Systems,https://www.fassride.com/,https://shop.fassride.com/Products/Search?search={sku},http_first,low,verified
magento_catalogsearch,magento,AFE,AFE,https://afepower.com/,https://afepower.com/catalogsearch/result/?q={sku},http_first,low,verified
magento_catalogsearch,magento,American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,https://www.atxwheels.com/,https://www.atxwheels.com/catalogsearch/result/?q={sku},browser_first,low,verified
