vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
Synapse Auto,Synapse Auto,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SYNA-S79-300122,success check,"title, vendor",,,https://synapseauto.com/filterSearch?advs=true&cid=0&mid=0&vid=0&q=300122&sid=true&isc=true&orderBy=0,Synapse Auto Search,Synapse Auto,,Motor Vehicle Parts,,,,0,,autoenginuity | automatictransmission,,,,,
Synapse Auto,Synapse Auto,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SYNA-S79-351351,success check,"title, vendor",,,https://synapseauto.com/filterSearch?advs=true&cid=0&mid=0&vid=0&q=351351&sid=true&isc=true&orderBy=0,Synapse Auto Search,Synapse Auto,,Motor Vehicle Parts,,,,0,,autoenginuity | automatictransmission,,,,,
Synapse Auto,Synapse Auto,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SYNA-S79-L5P1,success check,"title, vendor",,,https://synapseauto.com/filterSearch?advs=true&cid=0&mid=0&vid=0&q=L5P1&sid=true&isc=true&orderBy=0,Synapse Auto Search,Synapse Auto,,Motor Vehicle Parts,,,,0,,autoenginuity | automatictransmission,,,,,
Suspension MAXX,Suspension MAXX,drupal_search_api,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SMX-10195,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://suspensionmaxx.com/catalog,Suspension MAXX,Suspension MAXX,Suspension & Steering,Motor Vehicle Suspension Parts,Suspension & Steering,,yes,0,,carlisuspension | duramaxsteering,yes,,,,
Suspension MAXX,Suspension MAXX,drupal_search_api,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SMX-122690EX,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://suspensionmaxx.com/catalog,Suspension MAXX,Suspension MAXX,Suspension & Steering,Motor Vehicle Suspension Parts,Suspension & Steering,,yes,0,,carlisuspension | duramaxsteering,yes,,,,
Suspension MAXX,Suspension MAXX,drupal_search_api,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SMX-2535,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://suspensionmaxx.com/catalog,Suspension MAXX,Suspension MAXX,Suspension & Steering,Motor Vehicle Suspension Parts,Suspension & Steering,,yes,0,,carlisuspension | duramaxsteering,yes,,,,
BMC Lights,BMC Lights,generic_keyword_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BMC-202-202-GMC-250-RGD-SR,success check,"title, description_html, vendor",,,https://bmclights.com/shop-for-bmc-kits,BMC Lights,BMC Lights,Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,yes,0,,headlights | electrictruck,yes,,,,
BMC Lights,BMC Lights,generic_keyword_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BMC-FRD-F25-F45-HTC-FLD-RGD-IGN,success check,"title, description_html, vendor",,,https://bmclights.com/shop-for-bmc-kits,BMC Lights,BMC Lights,Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,yes,0,,headlights | electrictruck,yes,,,,
BMC Lights,BMC Lights,generic_keyword_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BMC-RAM-250-HB-RGD-STD,success check,"title, description_html, vendor",,,https://bmclights.com/shop-for-bmc-kits,BMC Lights,BMC Lights,Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,yes,0,,headlights | electrictruck,yes,,,,
AFE,AFE,magento_catalogsearch,,http_first,low,verified,46-71370B,success check,"title, description_html, media_urls, price, core_charge_product_code, vendor, media_local_files",,search_seed,https://afepower.com/afe-power-46-71370b-engine-oil-pan-black-finish-machined-fins,aFe POWER Pro Series Engine Oil Pan Black w/ Machined Fins 20-25 GM 6.6L Duramax,aFe POWER Pro Series Engine Oil Pan Black w/ Machined Fins,Engine Components,Motor Vehicle Engine Oil Circulation,Engine Components,Engine Oil Pans,yes,0,Engine Components | 2020-2026 GM 6.6 Duramax L5P,duramax | dieselengines,yes,,,,
AFE,AFE,magento_catalogsearch,,http_first,low,verified,AFE46-60059,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
